state,district,year,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrolments,total_updates,adult_system_stress,child_system_stress,digital_friction_index,log_digital_friction,friction_outlier
Andaman and Nicobar Islands,nicobar,2025,9,42,6,0,2.0,116.0,92.0,148.0,48,358.0,264.0,94.0,264.0,5.579729825986222,False
Andaman and Nicobar Islands,nicobar,2025,10,6,4,0,6.0,39.0,29.0,55.0,10,129.0,94.0,35.0,94.0,4.553876891600541,False
Andaman and Nicobar Islands,nicobar,2025,11,11,0,0,4.0,82.0,116.0,54.0,11,256.0,136.0,120.0,136.0,4.919980925828125,False
Andaman and Nicobar Islands,nicobar,2025,12,5,1,0,6.0,52.0,203.0,51.0,6,312.0,103.0,209.0,103.0,4.6443908991413725,False
Andaman and Nicobar Islands,north and middle andaman,2025,9,38,2,0,8.0,167.0,531.0,175.0,40,881.0,342.0,539.0,342.0,5.8377304471659395,False
Andaman and Nicobar Islands,north and middle andaman,2025,10,20,1,0,8.0,125.0,262.0,95.0,21,490.0,220.0,270.0,220.0,5.3981627015177525,False
Andaman and Nicobar Islands,north and middle andaman,2025,11,29,0,0,19.0,225.0,383.0,102.0,29,729.0,327.0,402.0,327.0,5.793013608384144,False
Andaman and Nicobar Islands,north and middle andaman,2025,12,38,1,0,11.0,305.0,402.0,132.0,39,850.0,437.0,413.0,437.0,6.082218910376446,False
Andaman and Nicobar Islands,south andaman,2025,9,92,8,0,51.0,446.0,1110.0,586.0,100,2193.0,1032.0,1161.0,1032.0,6.940222469119639,False
Andaman and Nicobar Islands,south andaman,2025,10,47,3,0,47.0,325.0,517.0,342.0,50,1231.0,667.0,564.0,667.0,6.504288173536645,False
Andaman and Nicobar Islands,south andaman,2025,11,65,3,0,82.0,743.0,553.0,433.0,68,1811.0,1176.0,635.0,1176.0,7.0707241072602764,False
Andaman and Nicobar Islands,south andaman,2025,12,76,3,0,105.0,1104.0,992.0,517.0,79,2718.0,1621.0,1097.0,1621.0,7.3914152346753585,False
Andhra Pradesh,adilabad,2025,9,432,97,0,259.0,3996.0,1079.0,6338.0,529,11672.0,10334.0,1338.0,10334.0,9.24329147211587,True
Andhra Pradesh,adilabad,2025,10,183,56,0,349.0,3472.0,2079.0,4825.0,239,10725.0,8297.0,2428.0,8297.0,9.023769800892813,True
Andhra Pradesh,adilabad,2025,11,225,51,0,594.0,4895.0,1347.0,3916.0,276,10752.0,8811.0,1941.0,8811.0,9.083869707922235,True
Andhra Pradesh,adilabad,2025,12,68,11,0,440.0,4668.0,1488.0,4216.0,79,10812.0,8884.0,1928.0,8884.0,9.092119740588751,True
Andhra Pradesh,alluri sitharama raju,2025,9,12,4,0,30.0,241.0,20.0,23.0,16,314.0,264.0,50.0,264.0,5.579729825986222,False
Andhra Pradesh,alluri sitharama raju,2025,10,12,2,1,45.0,215.0,39.0,41.0,15,340.0,256.0,84.0,128.0,4.859812404361672,False
Andhra Pradesh,alluri sitharama raju,2025,11,7,3,0,65.0,301.0,92.0,36.0,10,494.0,337.0,157.0,337.0,5.823045895483019,False
Andhra Pradesh,alluri sitharama raju,2025,12,7,0,0,72.0,320.0,29.0,31.0,7,452.0,351.0,101.0,351.0,5.863631175598097,False
Andhra Pradesh,anantapur,2025,9,2175,172,10,792.0,6455.0,4407.0,5648.0,2357,17302.0,12103.0,5199.0,1100.2727272727273,7.004221814742522,False
Andhra Pradesh,anantapur,2025,10,1618,124,2,2292.0,6419.0,14646.0,8162.0,1744,31519.0,14581.0,16938.0,4860.333333333333,8.48906802769039,True
Andhra Pradesh,anantapur,2025,11,2041,133,4,3254.0,8932.0,10594.0,9055.0,2178,31835.0,17987.0,13848.0,3597.4,8.188244581205051,False
Andhra Pradesh,anantapur,2025,12,1385,71,5,2452.0,11117.0,8761.0,11221.0,1461,33551.0,22338.0,11213.0,3723.0,8.222553638396958,False
Andhra Pradesh,ananthapur,2025,9,87,6,0,171.0,1288.0,484.0,639.0,93,2582.0,1927.0,655.0,1927.0,7.564238475170491,False
Andhra Pradesh,ananthapur,2025,10,60,3,0,446.0,1397.0,1153.0,741.0,63,3737.0,2138.0,1599.0,2138.0,7.668093709082406,False
Andhra Pradesh,ananthapur,2025,11,66,7,0,635.0,1909.0,909.0,834.0,73,4287.0,2743.0,1544.0,2743.0,7.917171988845776,False
Andhra Pradesh,ananthapur,2025,12,63,1,1,572.0,2262.0,884.0,984.0,65,4702.0,3246.0,1456.0,1623.0,7.392647520721623,False
Andhra Pradesh,ananthapuramu,2025,9,615,55,3,356.0,2749.0,672.0,874.0,673,4651.0,3623.0,1028.0,905.75,6.809866778163012,False
Andhra Pradesh,ananthapuramu,2025,10,399,32,0,815.0,2433.0,1745.0,806.0,431,5799.0,3239.0,2560.0,3239.0,8.083328608786376,False
Andhra Pradesh,ananthapuramu,2025,11,530,29,2,1180.0,3695.0,1532.0,1000.0,561,7407.0,4695.0,2712.0,1565.0,7.356279876550748,False
Andhra Pradesh,ananthapuramu,2025,12,318,15,1,1072.0,5019.0,1306.0,1345.0,334,8742.0,6364.0,2378.0,3182.0,8.065579427282092,False
Andhra Pradesh,annamayya,2025,9,2,0,0,209.0,1787.0,1.0,2.0,2,1999.0,1789.0,210.0,1789.0,7.489970898834801,False
Andhra Pradesh,annamayya,2025,10,5,0,0,448.0,1881.0,1.0,1.0,5,2331.0,1882.0,449.0,1882.0,7.5406215286571525,False
Andhra Pradesh,annamayya,2025,11,2,0,0,676.0,2630.0,2.0,1.0,2,3309.0,2631.0,678.0,2631.0,7.875499292445208,False
Andhra Pradesh,annamayya,2025,12,5,0,0,490.0,2985.0,1.0,1.0,5,3477.0,2986.0,491.0,2986.0,8.00202481821611,False
Andhra Pradesh,bapatla,2025,11,1,0,1,0.0,3.0,0.0,1.0,2,4.0,4.0,0.0,2.0,1.0986122886681098,False
Andhra Pradesh,bhadradri kothagudem,2025,9,63,19,0,2.0,23.0,0.0,0.0,82,25.0,23.0,2.0,23.0,3.1780538303479458,False
Andhra Pradesh,bhadradri kothagudem,2025,10,38,10,0,3.0,16.0,0.0,0.0,48,19.0,16.0,3.0,16.0,2.833213344056216,False
Andhra Pradesh,bhadradri kothagudem,2025,11,50,22,0,4.0,37.0,0.0,0.0,72,41.0,37.0,4.0,37.0,3.6375861597263857,False
Andhra Pradesh,bhadradri kothagudem,2025,12,23,3,0,4.0,25.0,0.0,0.0,26,29.0,25.0,4.0,25.0,3.258096538021482,False
Andhra Pradesh,chittoor,2025,9,2635,435,58,1456.0,11039.0,5167.0,7281.0,3128,24943.0,18320.0,6623.0,310.50847457627117,5.741426543559754,False
Andhra Pradesh,chittoor,2025,10,1647,220,18,2823.0,8226.0,18511.0,6517.0,1885,36077.0,14743.0,21334.0,775.9473684210526,6.655372611163557,False
Andhra Pradesh,chittoor,2025,11,2336,242,50,4502.0,13730.0,21951.0,8584.0,2628,48767.0,22314.0,26453.0,437.52941176470586,6.083426883142622,False
