state,district,month,risk_score,age_verification_decision,disaster_alert,kendra_action
Andaman and Nicobar Islands,nicobar,9,0.0074119195,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,nicobar,10,0.0016011404,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,nicobar,11,0.02549786,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,nicobar,12,0.0009867981,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,north and middle andaman,9,0.858008,DEFER_VERIFICATION,NORMAL,CHILD_UPDATE_CAMPS
Andaman and Nicobar Islands,north and middle andaman,10,0.005347021,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,north and middle andaman,11,0.0029105907,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,north and middle andaman,12,0.000412636,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,south andaman,9,0.0010551855,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,south andaman,10,0.0022675595,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,south andaman,11,0.010992633,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andaman and Nicobar Islands,south andaman,12,0.034434177,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,adilabad,9,0.00512527,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,adilabad,10,0.0014024229,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,adilabad,11,0.023963645,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,adilabad,12,0.022587858,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,alluri sitharama raju,9,0.016704421,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,alluri sitharama raju,10,0.007925053,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,alluri sitharama raju,11,0.67646843,AGE_NOT_VERIFIED,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,alluri sitharama raju,12,0.022716682,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,anantapur,9,0.1124664,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,anantapur,10,0.037857935,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,anantapur,11,0.0032972107,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,anantapur,12,0.0008768088,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapur,9,0.00018402883,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapur,10,0.04612766,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapur,11,0.0015111838,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapur,12,0.017575014,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapuramu,9,0.00040603493,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapuramu,10,0.0120986765,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapuramu,11,0.014547981,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,ananthapuramu,12,0.0015770949,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,annamayya,9,0.00043754667,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,annamayya,10,0.017004373,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,annamayya,11,0.0023355037,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,annamayya,12,0.004909858,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,bapatla,11,0.03646281,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,bhadradri kothagudem,9,0.16723968,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,bhadradri kothagudem,10,0.001100808,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,bhadradri kothagudem,11,0.10093313,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,bhadradri kothagudem,12,0.014900897,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
